"Name","Author","AVG_Rating","AVG_Reviews","AVG_Price","Years_Count","Years_List","Genre"
"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)","Marty Noble","4.599999904632568","2134.0000","5","1","2015","Non Fiction"
"Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink","4.5","2525.0000","16","1","2010","Non Fiction"
"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution","David Zinczenko","4.5","720.0000","1","1","2009","Non Fiction"
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","David Zinczenko","4.300000190734863","956.0000","14","1","2009","Non Fiction"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","4.5","6346.0000","9","2","2011,2012","Non Fiction"
"Eclipse (Twilight Sagas)","Stephenie Meyer","4.699999809265137","5505.0000","7","1","2009","Fiction"
"Eclipse (Twilight)","Stephenie Meyer","4.699999809265137","5505.0000","18","1","2009","Fiction"
"Educated: A Memoir","Tara Westover","4.699999809265137","28729.0000","15","2","2018,2019","Non Fiction"
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…","Johanna Basford","4.699999809265137","5413.0000","9","1","2015","Non Fiction"
"Fahrenheit 451","Ray Bradbury","4.599999904632568","10721.0000","8","2","2016,2018","Fiction"
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)","J.K. Rowling","4.699999809265137","4370.0000","15","1","2016","Fiction"
"Fear: Trump in the White House","Bob Woodward","4.400000095367432","6042.0000","2","1","2018","Non Fiction"
"Fifty Shades Darker","E L James","4.400000095367432","23631.0000","7","1","2012","Fiction"
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)","E L James","4.5","20262.0000","11","1","2012","Fiction"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","3.799999952316284","47265.0000","14","2","2012,2013","Fiction"
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James","4.5","13964.0000","32","1","2012","Fiction"
"Fire and Fury: Inside the Trump White House","Michael Wolff","4.199999809265137","13677.0000","6","1","2018","Non Fiction"
"First 100 Words","Roger Priddy","4.699999809265137","17323.0000","4","5","2014,2015,2016,2017,2018","Non Fiction"
"Food Rules: An Eater's Manual","Michael Pollan","4.400000095367432","1555.0000","9","1","2010","Non Fiction"
"Frozen (Little Golden Book)","RH Disney","4.699999809265137","3642.0000","0","1","2014","Fiction"
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","John Heilemann","4.400000095367432","1215.0000","9","1","2010","Non Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","4.599999904632568","5594.0000","5","3","2011,2012,2013","Fiction"
"George Washington's Sacred Fire","Peter A. Lillback","4.5","408.0000","20","1","2010","Non Fiction"
"George Washington's Secret Six: The Spy Ring That Saved the American Revolution","Brian Kilmeade","4.599999904632568","4799.0000","16","1","2013","Non Fiction"
"Giraffes Can't Dance","Giles Andreae","4.800000190734863","14038.0000","4","5","2015,2016,2017,2018,2019","Fiction"
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Rachel Hollis","4.599999904632568","7660.0000","12","1","2019","Non Fiction"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","4.599999904632568","22288.0000","12","2","2018,2019","Non Fiction"
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Glenn Beck","4.599999904632568","1365.0000","11","1","2009","Non Fiction"
"Go Set a Watchman: A Novel","Harper Lee","3.5999999046325684","14982.0000","19","1","2015","Fiction"
"Go the F**k to Sleep","Adam Mansbach","4.800000190734863","9568.0000","9","1","2011","Fiction"
"Going Rogue: An American Life","Sarah Palin","4.599999904632568","1636.0000","6","1","2009","Non Fiction"
"Gone Girl","Gillian Flynn","4","57271.0000","9.666666666666666","3","2012,2013,2014","Fiction"
"Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal","Pretty Simple Press","4.599999904632568","10141.0000","6","1","2019","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","4.5","3457.0000","14","4","2009,2010,2011,2012","Non Fiction"
"Goodnight Moon","Margaret Wise Brown","4.800000190734863","8837.0000","5","3","2017,2018,2019","Fiction"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","4.900000095367432","7038.0000","7","2","2012,2013","Fiction"
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers","David Perlmutter MD","4.599999904632568","5972.0000","10","1","2014","Non Fiction"
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)","E L James","4.400000095367432","25624.0000","14","1","2015","Fiction"
"Guts","Raina Telgemeier","4.800000190734863","5476.0000","7","1","2019","Non Fiction"
"Hamilton: The Revolution","Lin-Manuel Miranda","4.900000095367432","5867.0000","54","1","2016","Non Fiction"
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander","Phil Robertson","4.800000190734863","4148.0000","11","1","2013","Non Fiction"
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)","J.K. Rowling","4.900000095367432","19622.0000","30","1","2016","Fiction"
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","J.K. Rowling","4","23973.0000","12","1","2016","Fiction"
